walk,3515,2081,-106
walk,3538,2082,-106
walk,3567,2088,-106
walk,3588,2096,-106
walk,3600,2100,-106
walk,3614,2107,-106
walk,3626,2110,-106
walk,3639,2111,-106
walk,3653,2109,-105
walk,3679,2102,-108
walk,3688,2101,-107
walk,3694,2100,-106
walk,3701,2099,-104
walk,3709,2097,-102
walk,3715,2095,-98
walk,3722,2093,-93
walk,3731,2091,-88
walk,3739,2088,-85
walk,3747,2086,-82
walk,3754,2084,-80
walk,3764,2081,-76
walk,3773,2079,-70
walk,3783,2076,-67
walk,3791,2074,-66
walk,3800,2072,-66
walk,3808,2072,-66
walk,3815,2071,-67
walk,3824,2070,-68
walk,3832,2069,-70
walk,3843,2067,-82
walk,3853,2065,-86
walk,3860,2061,-88
walk,3867,2055,-92
walk,3875,2053,-96
walk,3881,2051,-106
walk,3893,2047,-134
walk,3900,2044,-130
walk,3908,2040,-124
walk,3916,2037,-120
walk,3924,2034,-117
walk,3935,2029,-109
walk,3944,2028,-105
walk,3953,2024,-70
walk,3961,2021,-51
walk,3970,2018,-26
walk,3976,2016,0
walk,3985,2013,0
walk,3996,2010,4
walk,4006,2006,29
walk,4014,2003,30
walk,4021,2001,27
walk,4028,1998,24
walk,4035,1995,21
walk,4044,1991,20
walk,4053,1986,27
walk,4062,1980,34
walk,4074,1970,44
walk,4081,1965,48
walk,4088,1961,51
walk,4093,1957,54
walk,4099,1952,57
walk,4105,1946,64
walk,4111,1943,70
walk,4142,1937,1
walk,4146,1939,0
walk,4157,1937,0
walk,4168,1933,0
walk,4179,1923,0
walk,4191,1912,0
walk,4201,1902,0
walk,4212,1887,0
walk,4216,1875,6
walk,4225,1861,0
walk,4235,1850,-5
walk,4242,1840,-6
walk,4245,1836,-7
walk,4250,1828,-12
walk,4257,1818,-31
walk,4262,1810,-31
walk,4267,1802,-40
walk,4273,1793,-50
walk,4277,1787,-56
walk,4283,1780,-57
walk,4294,1768,-61
walk,4310,1758,-58
walk,4321,1749,-42
walk,4332,1741,-34
walk,4341,1737,-28
walk,4354,1729,-19
walk,4368,1723,-7
walk,4382,1718,-7
walk,4401,1711,3
walk,4415,1707,17
walk,4426,1706,21
walk,4447,1701,9
walk,4463,1700,6
walk,4487,1698,2
walk,4509,1696,-12
walk,4526,1697,-14
walk,4553,1697,-7
walk,4564,1696,-1
walk,4585,1697,6
walk,4607,1702,13
walk,4629,1703,26
walk,4644,1703,37
walk,4660,1702,43
walk,4676,1701,44
walk,4687,1700,45
walk,4707,1695,46
walk,4723,1692,46
walk,4734,1684,50
walk,4747,1677,44
walk,4762,1671,39
walk,4786,1660,38
walk,4802,1655,41
walk,4821,1651,37
walk,4837,1650,58
walk,4849,1649,75
walk,4860,1648,85
walk,4883,1646,85
walk,4896,1642,85
walk,4917,1637,82
walk,4938,1631,84
walk,4959,1626,81
walk,4977,1636,76
walk,4990,1650,72
walk,5006,1662,69
walk,5021,1672,61
walk,5035,1672,58
wait,1
teleport,Ferry Ticket Seller Tayun,Ferry Ticket Seller Doji
wait,1
walk,5038,1091,78
walk,5032,1078,91
walk,5026,1067,105
walk,5014,1047,126
walk,5004,1031,183
walk,4996,1021,229
walk,4986,1008,232
walk,4975,996,255
walk,4968,989,285
walk,4960,978,306
walk,4950,967,328
walk,4939,950,351
walk,4928,935,377
walk,4919,923,417
walk,4909,910,450
walk,4898,895,490
walk,4894,885,502
walk,4883,866,527
walk,4869,849,536
walk,4857,834,542
walk,4838,809,578
walk,4822,792,605
walk,4809,777,625
walk,4804,763,658
walk,4798,750,680
walk,4788,739,700
walk,4780,725,715
walk,4772,710,741
walk,4765,697,773
walk,4768,699,767
walk,4766,694,784
walk,4766,693,786
walk,4761,681,801
walk,4758,669,809
walk,4758,668,809
walk,4754,651,828
walk,4750,632,843
walk,4748,616,858
walk,4748,603,868
walk,4746,590,876
walk,4746,578,885
walk,4748,567,893
walk,4749,557,898
walk,4752,544,904
walk,4758,531,908
walk,4767,511,900
walk,4776,502,908
walk,4787,507,962
walk,4800,505,976
walk,4813,505,956
walk,4817,506,947
walk,4819,506,944
walk,4830,506,901
walk,4849,508,792
walk,4862,509,750
walk,4880,511,694
walk,4897,514,656
walk,4919,518,631
walk,4927,526,623
walk,4946,534,605
walk,4960,541,590
walk,4970,546,582
walk,4979,552,577
walk,5004,562,567
walk,5029,571,579
walk,5034,573,582
walk,5034,573,583
walk,5050,578,606
walk,5064,584,628
walk,5083,591,660
walk,5087,591,665
walk,5101,594,679
walk,5104,594,682
walk,5112,595,689
walk,5132,600,722
walk,5152,610,751
walk,5165,615,779
walk,5175,621,818
walk,5192,633,848
walk,5200,636,912
walk,5218,645,965
walk,5231,652,998
walk,5246,658,1004
walk,5269,663,1008
walk,5274,664,1011
walk,5275,665,1012
walk,5288,668,1015
walk,5308,675,1015
walk,5327,681,1017
walk,5345,686,1029
walk,5350,688,1031
walk,5351,688,1031
walk,5352,688,1032
walk,5366,693,1036
walk,5382,697,1034
walk,5399,698,1037
walk,5400,698,1038
walk,5370,686,1034
walk,5367,681,1044
walk,5407,730,1035
walk,5427,751,1053
walk,5435,760,1072
walk,5443,769,1085
walk,5452,775,1086
walk,5460,782,1076
walk,5466,788,1054
walk,5479,798,971
walk,5495,808,877
walk,5508,818,814
walk,5519,827,777
walk,5538,832,735
walk,5557,843,689
walk,5566,857,684
walk,5582,877,698
walk,5594,893,715
walk,5603,911,739
walk,5613,932,733
walk,5625,958,695
walk,5630,977,683
walk,5635,994,673
walk,5642,1011,626
walk,5652,1023,574
walk,5679,1041,419
walk,5699,1046,356
walk,5723,1047,319
walk,5744,1050,286
walk,5766,1054,248
walk,5786,1057,215
walk,5815,1061,168
walk,5835,1063,143
walk,5860,1066,101
walk,5882,1067,79
walk,5897,1067,98
walk,5909,1066,107
walk,5931,1066,77
walk,5954,1073,85
walk,5974,1080,85
walk,5999,1089,71
walk,6027,1101,46
walk,6044,1106,44
walk,6059,1111,31
walk,6083,1119,9
walk,6098,1126,16
walk,6118,1140,-6
walk,6134,1150,-3
walk,6146,1150,0
walk,6169,1150,0
walk,6195,1149,-3
walk,6216,1147,-6
walk,6239,1144,-6
walk,6260,1141,-6
walk,6287,1140,-6
walk,6314,1136,-6
walk,6332,1133,-5
walk,6354,1130,-3
walk,6374,1125,0
walk,6394,1120,0
walk,6412,1104,-32
walk,6427,1093,-32
walk,6439,1072,-32
walk,6444,1063,-32
walk,6450,1056,-32
walk,6461,1039,-32
walk,6466,1034,-32
walk,6475,1022,-17
walk,6490,1013,0
walk,6499,1009,0
walk,6504,1006,0
walk,6506,1007,0
